"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDFG","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-13",,,"0.00","0.0","0.0","58","35","35",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-14",,,"0.00","0.0","0.0","59","31","32",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-15",,,"0.00","0.0","0.0","63","32","39",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-16",,,"0.00","0.0","0.0","55","30","33",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-17",,,"0.00","0.0","0.0","58","29","32",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-18",,,"0.00","0.0","0.0","76","32","41",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-19",,,"0.00","0.0","0.0","78","41","42",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-20",,,"0.00","0.0","0.0","83","42","57",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-21",,,"0.00","0.0","0.0","87","57","60",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-22",,,"0.00","0.0","0.0","67","38","41",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-23",,,"0.01","0.0","0.0","57","41","57",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-24",,,"0.09","0.0","0.0","66","46","46",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-25",,,"0.19","0.0","0.0","56","38","39",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-26",,,"0.00","0.0","0.0","59","39","46",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-27",,,"0.43","0.0","0.0","71","46","53",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-28",,,"0.00","0.0","0.0","71","50","50",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-29",,,"0.00","0.0","0.0","66","44","46",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-04-30",,,"0.16","0.0","0.0","63","46","53",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-01",,,"0.75","0.0","0.0","65","53","56",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-02",,,"0.08","0.0","0.0","65","36","40",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-03",,,"0.12","0.0","0.0","65","36","38",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-04",,,"0.00","0.0","0.0","60","38","43",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-05",,,"0.00","0.0","0.0","59","37","38",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-06",,,"0.00","0.0","0.0","62","38","44",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-07",,,"0.25","0.0","0.0","55","44","46",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-08",,,"0.00","0.0","0.0","69","38","45",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-09",,,"0.00","0.0","0.0","71","45","47",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-10",,,"0.00","0.0","0.0","72","42","45",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-11",,,"0.00","0.0","0.0","71","45","48",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-12",,,"0.00","0.0","0.0","82","48","67",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-13",,,"0.00","0.0","0.0","73","37","42",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-14",,,"0.00","0.0","0.0","66","42","51",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-15",,,"0.01","0.0","0.0","80","51","63",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-16",,,"0.02","0.0","0.0","78","55","58",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-17",,,"0.00","0.0","0.0","74","50","52",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-18",,,"0.00","0.0","0.0","70","43","47",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-19",,,"0.00","0.0","0.0","71","43","44",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-20",,,"0.20","0.0","0.0","74","44","51",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-21",,,"1.38","0.0","0.0","51","45","47",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-22",,,"0.02","0.0","0.0","73","47","51",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-23",,,"0.00","0.0","0.0","66","49","51",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-24",,,"0.00","0.0","0.0","63","51","53",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-25",,,"0.10","0.0","0.0","61","47","49",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-26",,,"0.31","0.0","0.0","54","49","54",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-27",,,"0.00","0.0","0.0","60","51","53",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-28",,,"0.00","0.0","0.0","82","49","54",,,"    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-29",,,"0.00","0.0","0.0","79","52","54",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-30",,,"0.00","0.0","0.0","76","49","54",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-05-31",,,"0.00","0.0","0.0","77","50","55",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-01",,,"0.00","0.0","0.0","80","50","53",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-02",,,"0.00","0.0","0.0","70","53","54",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-03",,,"0.04","0.0","0.0","70","54","57",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-04",,,"0.75","0.0","0.0","62","57","62",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-05",,,"0.00","0.0","0.0","77","62","64",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-06",,,"0.00","0.0","0.0","88","64","68",,,"    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-07",,,"0.32","0.0","0.0","91","66","67",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-08",,,"0.00","0.0","0.0","88","67","69",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-09",,,"0.00","0.0","0.0","95","68","69",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-10",,,"0.00","0.0","0.0","89","69","77",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-11",,,"0.00","0.0","0.0","85","67","68",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-12",,,"0.00","0.0","0.0","88","68","70",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-13",,,"0.00","0.0","0.0","86","70","72",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-14",,,"0.00","0.0","0.0","91","72","76",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-15",,,"0.00","0.0","0.0","93","75","75",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-16",,,"0.00","0.0","0.0","88","67","70",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-17",,,"0.03","0.0","0.0","86","55","58",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-18",,,"0.00","0.0","0.0","78","55","59",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-19",,,"0.00","0.0","0.0","78","59","62",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-20",,,"0.00","0.0","0.0","73","53","57",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-21",,,"0.00","0.0","0.0","75","49","52",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-22",,,"0.00","0.0","0.0","84","52","66",,,"    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-23",,,"0.06","0.0","0.0","86","57","60",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-24",,,"0.00","0.0","0.0","81","59","60",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-25",,,"0.00","0.0","0.0","85","60","65",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-26",,,"0.00","0.0","0.0","91","65","68",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-27",,,"0.10","0.0","0.0","90","65","73",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-28",,,"1.31","0.0","0.0","75","71","72",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-29",,,"0.00","0.0","0.0","90","72","73",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-06-30",,,"0.24","0.0","0.0","82","70","71",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-01",,,"0.09","0.0","0.0","85","67","67",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-02",,,"1.70","0.0","0.0","87","67","71",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-03",,,"0.00","0.0","0.0","84","61","63",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-04",,,"0.00","0.0","0.0","82","60","62",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-05",,,"0.00","0.0","0.0","86","62","69",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-06",,,"1.17","0.0","0.0","86","69","72",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-07",,,"0.48","0.0","0.0","86","69","69",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-08",,,"0.94","0.0","0.0","72","64","64",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-09",,,"0.68","0.0","0.0","67","60","62",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-10",,,"0.00","0.0","0.0","86","62","68",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-11",,,"0.00","0.0","0.0","91","63","65",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-12",,,"0.00","0.0","0.0","92","65","71",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-13",,,"0.00","0.0","0.0","92","69","71",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-14",,,"0.00","0.0","0.0","88","71","72",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-15",,,"0.00","0.0","0.0","85","72","74",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-16",,,"0.05","0.0","0.0","89","73","74",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-17",,,"0.06","0.0","0.0","84","74","76",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-18",,,"0.32","0.0","0.0","89","75","76",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-19",,,"0.00","0.0","0.0","93","76","78",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-20",,,"0.00","0.0","0.0","92","73","76",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-21",,,"0.00","0.0","0.0","92","67","69",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-22",,,"0.31","0.0","0.0","93","69","74",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-23",,,"0.00","0.0","0.0","95","72","74",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-24",,,"0.00","0.0","0.0","87","59","60",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-25",,,"0.01","0.0","0.0","88","60","71",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-26",,,"0.00","0.0","0.0","89","71","76",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-27",,,"0.00","0.0","0.0","97","76","79",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-28",,,"0.63","0.0","0.0","99","67","67",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-29",,,"0.00","0.0","0.0","85","66","68",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-30",,,"0.00","0.0","0.0","84","68","68",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-07-31",,,"0.00","0.0","0.0","84","65","67",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-01",,,"0.00","0.0","0.0","83","66","66",,"    1",,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-02",,,"0.00","0.0","0.0","89","66","71",,,"    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-03",,,"0.06","0.0","0.0","94","70","73",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-04",,,"0.00","0.0","0.0","96","72","73",,,"    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-05",,,"0.00","0.0","0.0","98","73","75",,,"    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-06",,,"0.04","0.0","0.0","96","70","70",,,"    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-07",,,"0.00","0.0","0.0","88","67","69",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-08",,,"0.49","0.0","0.0","84","69","70",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-09",,,"0.99","0.0","0.0","86","70","72",,"    1","    1",,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-10",,,"0.23","0.0","0.0","79","70","71",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-11",,,"0.00","0.0","0.0","86","71","72",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-12",,,"0.00","0.0","0.0","93","72","76",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-13",,,"0.00","0.0","0.0","94","76","77",,,,,,,
"USC00283662","HAMMONTON 1 NE, NJ US","2005-08-14",,,"0.00","0.0","0.0","96","75","75",,,,,,,
